lat,lon,type,title,link
,,spa,Mary Belle SPA,https://www.google.com/maps/place/Mary+Belle+SPA/data=!4m7!3m6!1s0xd0c79cfd49acb73:0x6940859b40a9e4dc!8m2!3d35.781229!4d-5.8221332!16s%2Fg%2F11tmw89kgq!19sChIJc8ua1M95DA0R3OSpQJuFQGk?authuser=0&hl=fr&rclk=1
,,spa,Tingis Spa,https://www.google.com/maps/place/Tingis+Spa/data=!4m7!3m6!1s0xd0b81f827766331:0xd835b347d21b1594!8m2!3d35.7747152!4d-5.8019727!16s%2Fg%2F11t2b44m6f!19sChIJMWN2J_iBCw0RlBUb0kezNdg?authuser=0&hl=fr&rclk=1
,,spa,Star spa,https://www.google.com/maps/place/Star+spa/data=!4m7!3m6!1s0xd0b813323fb891f:0xa7a7466e593515ab!8m2!3d35.7625164!4d-5.7988265!16s%2Fg%2F11rfsygfct!19sChIJH4n7IzOBCw0RqxU1WW5Gp6c?authuser=0&hl=fr&rclk=1
,,spa,DAYGLOW SPA,https://www.google.com/maps/place/DAYGLOW+SPA/data=!4m7!3m6!1s0xd0b87235b609163:0x9203ae224f3ad1b1!8m2!3d35.7708669!4d-5.8205312!16s%2Fg%2F11txlg_j20!19sChIJY5FgWyOHCw0RsdE6TyKuA5I?authuser=0&hl=fr&rclk=1
,,spa,ONGLEA TANGER,https://www.google.com/maps/place/ONGLEA+TANGER/data=!4m7!3m6!1s0xd0c78af4083131b:0x36ea9b9d1634a16d!8m2!3d35.7810612!4d-5.8235324!16s%2Fg%2F11c0t8y9_v!19sChIJGxODQK94DA0RbaE0Fp2b6jY?authuser=0&hl=fr&rclk=1
,,spa,Cross Gym,https://www.google.com/maps/place/Cross+Gym/data=!4m7!3m6!1s0xd0c7983cc70ae5b:0x5ea1651c8b9ed482!8m2!3d35.7783566!4d-5.8202701!16s%2Fg%2F11h8mqqbzq!19sChIJW65wzIN5DA0RgtSeixxloV4?authuser=0&hl=fr&rclk=1
,,spa,Vip Sun Spa,https://www.google.com/maps/place/Vip+Sun+Spa/data=!4m7!3m6!1s0xd0b81e62c401405:0x72b1e0d92c359512!8m2!3d35.7738116!4d-5.7974012!16s%2Fg%2F11vpj9yx0l!19sChIJBRRALOaBCw0REpU1LNngsXI?authuser=0&hl=fr&rclk=1
,,spa,Nancy spa model,https://www.google.com/maps/place/Nancy+spa+model/data=!4m7!3m6!1s0xd0b81c9abd20ec9:0x622a6122263a4d86!8m2!3d35.7729594!4d-5.8107817!16s%2Fg%2F11ss_304gs!19sChIJyQ7Sq8mBCw0Rhk06JiJhKmI?authuser=0&hl=fr&rclk=1
,,spa,Empire Beauté,https://www.google.com/maps/place/Empire+Beaut%C3%A9/data=!4m7!3m6!1s0xd0c7f42e34d7473:0xcd4d156f14e7aa4f!8m2!3d35.7794214!4d-5.8053511!16s%2Fg%2F11txl62czw!19sChIJc3RN40J_DA0RT6rnFG8VTc0?authuser=0&hl=fr&rclk=1
,,spa,maison asma beauty center SPA,https://www.google.com/maps/place/maison+asma+beauty+center+SPA/data=!4m7!3m6!1s0xd0b87a6491a3f05:0x5d776fbd811f3432!8m2!3d35.7729067!4d-5.8163809!16s%2Fg%2F11fmg99tn6!19sChIJBT8aSaaHCw0RMjQfgb1vd10?authuser=0&hl=fr&rclk=1
,,spa,Kapedos Ex-Kapello,https://www.google.com/maps/place/Kapedos+Ex-Kapello/data=!4m7!3m6!1s0xd0b81b636f804f3:0x16c8d5221a3f4e06!8m2!3d35.7756984!4d-5.8003538!16s%2Fg%2F11cn775hc7!19sChIJ8wT4NraBCw0RBk4_GiLVyBY?authuser=0&hl=fr&rclk=1
,,spa,ⓜ Spa Tanger,https://www.google.com/maps/place/%E2%93%9C+Spa+Tanger/data=!4m7!3m6!1s0xd0c7f6c79f8805d:0x1a8f514b9ffcd77a!8m2!3d35.7813831!4d-5.7595669!16s%2Fg%2F11nwx9hy9b!19sChIJXYD4eWx_DA0Retf8n0tRjxo?authuser=0&hl=fr&rclk=1
,,spa,Jet Set Spa,https://www.google.com/maps/place/Jet+Set+Spa/data=!4m7!3m6!1s0xd0c7f42787d20ab:0x7bbfd3945e2520af!8m2!3d35.7775951!4d-5.8010622!16s%2Fg%2F11flc3vgkf!19sChIJqyB9eEJ_DA0RryAlXpTTv3s?authuser=0&hl=fr&rclk=1
,,spa,Victoria,https://www.google.com/maps/place/Victoria/data=!4m7!3m6!1s0xd0b8797cc5dbdbf:0xd282d362865e7509!8m2!3d35.7680247!4d-5.8328787!16s%2Fg%2F11h3_zrd1g!19sChIJv71dzJeHCw0RCXVehmLTgtI?authuser=0&hl=fr&rclk=1
,,spa,Privileges Spa & beauty,https://www.google.com/maps/place/Privileges+Spa+%26+beauty/data=!4m7!3m6!1s0xd0b818a6e873a51:0x8bf832a643d841fe!8m2!3d35.7706723!4d-5.81011!16s%2Fg%2F11lh6dxkby!19sChIJUTqHboqBCw0R_kHYQ6Yy-Is?authuser=0&hl=fr&rclk=1
,,spa,Beauty Wings SPA,https://www.google.com/maps/place/Beauty+Wings+SPA/data=!4m7!3m6!1s0xd0b8166e4c51ac5:0x30316fed6dbec389!8m2!3d35.7689181!4d-5.8103407!16s%2Fg%2F11vby5y6nj!19sChIJxRrF5GaBCw0RicO-be1vMTA?authuser=0&hl=fr&rclk=1
,,spa,Haman Dar Baroud,https://www.google.com/maps/place/Haman+Dar+Baroud/data=!4m7!3m6!1s0xd0c7f9f6981feaf:0xfd19fd285f3b3abe!8m2!3d35.7877161!4d-5.8096335!16s%2Fg%2F11v0_ww32l!19sChIJr_6BaZ9_DA0Rvjo7Xyj9Gf0?authuser=0&hl=fr&rclk=1
,,spa,Hammam Boughaz / Spa Tanger,https://www.google.com/maps/place/Hammam+Boughaz+%2F+Spa+Tanger/data=!4m7!3m6!1s0xd0b80aedf1fd445:0x464b9df8332ba3f7!8m2!3d35.7687484!4d-5.8065436!16s%2Fg%2F11cm9q84ky!19sChIJRdQf366ACw0R96MrM_idS0Y?authuser=0&hl=fr&rclk=1
,,spa,Rêve d'un Soir,https://www.google.com/maps/place/R%C3%AAve+d%27un+Soir/data=!4m7!3m6!1s0xd0b87f00083985f:0x25b688adb4b5487e!8m2!3d35.7572725!4d-5.8502878!16s%2Fg%2F11sgzqccfd!19sChIJX5iDAPCHCw0Rfki1tK2ItiU?authuser=0&hl=fr&rclk=1
,,spa,Havana SPA bychaimae tanger,https://www.google.com/maps/place/Havana+SPA+bychaimae+tanger/data=!4m7!3m6!1s0xd0b87e2dffea68f:0xa9f9df954797ce48!8m2!3d35.7348429!4d-5.8575914!16s%2Fg%2F11rlfymf9m!19sChIJj6b-3-KHCw0RSM6XR5Xf-ak?authuser=0&hl=fr&rclk=1
,,spa,Spa Benessere,https://www.google.com/maps/place/Spa+Benessere/data=!4m7!3m6!1s0xd0c7fc9108e5a51:0x7ae3c715f46c33d7!8m2!3d35.7874747!4d-5.7590592!16s%2Fg%2F11s54jx6_c!19sChIJUVqOEMl_DA0R1zNs9BXH43o?authuser=0&hl=fr&rclk=1
,,spa,The White SPA,https://www.google.com/maps/place/The+White+SPA/data=!4m7!3m6!1s0xd0b81c3e4fbd13b:0x6ae4d2a39b4205ad!8m2!3d35.7743065!4d-5.79364!16s%2Fg%2F11q8t4s55n!19sChIJO9H75MOBCw0RrQVCm6PS5Go?authuser=0&hl=fr&rclk=1
,,spa,Maison Jouhaina,https://www.google.com/maps/place/Maison+Jouhaina/data=!4m7!3m6!1s0xd0c795cfa2a9201:0xa77b5cb4a8dd17e5!8m2!3d35.7833166!4d-5.8238127!16s%2Fg%2F11khshgj11!19sChIJAZIq-lx5DA0R5RfdqLRce6c?authuser=0&hl=fr&rclk=1
,,spa,Nana Pink,https://www.google.com/maps/place/Nana+Pink/data=!4m7!3m6!1s0xd0c7f97702690cd:0x7c93a80ab31c008d!8m2!3d35.7804314!4d-5.8110329!16s%2Fg%2F11pfcg785t!19sChIJzZAmcJd_DA0RjQAcswqok3w?authuser=0&hl=fr&rclk=1
,,spa,Fredj Hotel & Spa,https://www.google.com/maps/place/Fredj+Hotel+%26+Spa/data=!4m10!3m9!1s0xd0c78acb37d912b:0x1d50e3c31f9220de!5m2!4m1!1i2!8m2!3d35.781948!4d-5.8134646!16s%2Fg%2F11dyrb2lfg!19sChIJK5F9s6x4DA0R3iCSH8PjUB0?authuser=0&hl=fr&rclk=1
,,spa,GREEN LADY,https://www.google.com/maps/place/GREEN+LADY/data=!4m7!3m6!1s0xd0b87f0f6f35329:0xba05335cc7ce5054!8m2!3d35.7465461!4d-5.8375816!16s%2Fg%2F11p9m53y58!19sChIJKVPz9vCHCw0RVFDOx1wzBbo?authuser=0&hl=fr&rclk=1
,,spa,"Dar Chams Tanja, maison de charme luxueuse","https://www.google.com/maps/place/Dar+Chams+Tanja,+maison+de+charme+luxueuse/data=!4m10!3m9!1s0xd0c78b32cd8b633:0xcc37a9e2cf2ac8c1!5m2!4m1!1i2!8m2!3d35.7877873!4d-5.812063!16s%2Fg%2F1tgb8lwh!19sChIJM7bYLLN4DA0Rwcgqz-KpN8w?authuser=0&hl=fr&rclk=1"
,,spa,Spa Najat,https://www.google.com/maps/place/Spa+Najat/data=!4m7!3m6!1s0xd0c7fe4c3530039:0xb99840109fc832e1!8m2!3d35.7801439!4d-5.808767!16s%2Fg%2F11rtc9g94h!19sChIJOQBTw-R_DA0R4TLInxBAmLk?authuser=0&hl=fr&rclk=1
